Time,Router,Mechanisms,Type,Packets
1,R1,DeepAuC,CacheHits,7
1,R1,DeepAuC,CacheMisses,867
1,R2,DeepAuC,CacheHits,1
1,R2,DeepAuC,CacheMisses,849
1,R3,DeepAuC,CacheHits,1
1,R3,DeepAuC,CacheMisses,858
1,R4,DeepAuC,CacheHits,1
1,R4,DeepAuC,CacheMisses,858
1,R5,DeepAuC,CacheHits,1
1,R5,DeepAuC,CacheMisses,867
1,R6,DeepAuC,CacheHits,1
1,R6,DeepAuC,CacheMisses,876
1,R7,DeepAuC,CacheHits,1
1,R7,DeepAuC,CacheMisses,867
1,R8,DeepAuC,CacheHits,1
1,R8,DeepAuC,CacheMisses,876
1,R9,DeepAuC,CacheHits,7
1,R9,DeepAuC,CacheMisses,876
1,R10,DeepAuC,CacheHits,1
1,R10,DeepAuC,CacheMisses,876
1,R11,DeepAuC,CacheHits,1
1,R11,DeepAuC,CacheMisses,858
1,R12,DeepAuC,CacheHits,1
1,R12,DeepAuC,CacheMisses,885
1,R13,DeepAuC,CacheHits,7
1,R13,DeepAuC,CacheMisses,885
1,R14,DeepAuC,CacheHits,1
1,R14,DeepAuC,CacheMisses,849
1,R15,DeepAuC,CacheHits,1
1,R15,DeepAuC,CacheMisses,849
1,R16,DeepAuC,CacheHits,1
1,R16,DeepAuC,CacheMisses,858
1,R17,DeepAuC,CacheHits,1
1,R17,DeepAuC,CacheMisses,867
1,R18,DeepAuC,CacheHits,1
1,R18,DeepAuC,CacheMisses,867
1,R19,DeepAuC,CacheHits,33
1,R19,DeepAuC,CacheMisses,894
1,R20,DeepAuC,CacheHits,1
1,R20,DeepAuC,CacheMisses,867
1,R21,DeepAuC,CacheHits,1
1,R21,DeepAuC,CacheMisses,876
1,R22,DeepAuC,CacheHits,1
1,R22,DeepAuC,CacheMisses,876
1,R23,DeepAuC,CacheHits,1
1,R23,DeepAuC,CacheMisses,885
2,R1,DeepAuC,CacheMisses,900
2,R2,DeepAuC,CacheMisses,900
2,R3,DeepAuC,CacheMisses,900
2,R4,DeepAuC,CacheMisses,900
2,R5,DeepAuC,CacheMisses,900
2,R6,DeepAuC,CacheMisses,900
2,R7,DeepAuC,CacheMisses,900
2,R8,DeepAuC,CacheMisses,900
2,R9,DeepAuC,CacheMisses,900
2,R10,DeepAuC,CacheMisses,900
2,R11,DeepAuC,CacheMisses,900
2,R12,DeepAuC,CacheMisses,900
2,R13,DeepAuC,CacheMisses,900
2,R14,DeepAuC,CacheMisses,900
2,R15,DeepAuC,CacheMisses,900
2,R16,DeepAuC,CacheMisses,900
2,R17,DeepAuC,CacheMisses,900
2,R18,DeepAuC,CacheMisses,900
2,R19,DeepAuC,CacheMisses,900
2,R20,DeepAuC,CacheMisses,900
2,R21,DeepAuC,CacheMisses,900
2,R22,DeepAuC,CacheMisses,900
2,R23,DeepAuC,CacheMisses,900
3,R1,DeepAuC,CacheMisses,900
3,R2,DeepAuC,CacheMisses,900
3,R3,DeepAuC,CacheMisses,900
3,R4,DeepAuC,CacheMisses,900
3,R5,DeepAuC,CacheMisses,900
3,R6,DeepAuC,CacheMisses,900
3,R7,DeepAuC,CacheMisses,900
3,R8,DeepAuC,CacheMisses,900
3,R9,DeepAuC,CacheMisses,900
3,R10,DeepAuC,CacheMisses,900
3,R11,DeepAuC,CacheMisses,900
3,R12,DeepAuC,CacheMisses,900
3,R13,DeepAuC,CacheMisses,900
3,R14,DeepAuC,CacheMisses,900
3,R15,DeepAuC,CacheMisses,900
3,R16,DeepAuC,CacheMisses,900
3,R17,DeepAuC,CacheMisses,900
3,R18,DeepAuC,CacheMisses,900
3,R19,DeepAuC,CacheMisses,900
3,R20,DeepAuC,CacheMisses,900
3,R21,DeepAuC,CacheMisses,900
3,R22,DeepAuC,CacheMisses,900
3,R23,DeepAuC,CacheMisses,900
4,R1,DeepAuC,CacheMisses,799
4,R2,DeepAuC,CacheMisses,805
4,R3,DeepAuC,CacheMisses,805
4,R4,DeepAuC,CacheMisses,805
4,R5,DeepAuC,CacheMisses,799
4,R6,DeepAuC,CacheMisses,798
4,R7,DeepAuC,CacheMisses,799
4,R8,DeepAuC,CacheMisses,798
4,R9,DeepAuC,CacheMisses,798
4,R10,DeepAuC,CacheMisses,798
4,R11,DeepAuC,CacheMisses,805
4,R12,DeepAuC,CacheMisses,798
4,R13,DeepAuC,CacheMisses,798
4,R14,DeepAuC,CacheMisses,805
4,R15,DeepAuC,CacheMisses,805
4,R16,DeepAuC,CacheMisses,805
4,R17,DeepAuC,CacheMisses,799
4,R18,DeepAuC,CacheMisses,799
4,R19,DeepAuC,CacheMisses,798
4,R20,DeepAuC,CacheMisses,799
4,R21,DeepAuC,CacheMisses,798
4,R22,DeepAuC,CacheMisses,798
4,R23,DeepAuC,CacheMisses,798
5,R1,DeepAuC,CacheMisses,794
5,R2,DeepAuC,CacheMisses,791
5,R3,DeepAuC,CacheMisses,791
5,R4,DeepAuC,CacheMisses,791
5,R5,DeepAuC,CacheMisses,794
5,R6,DeepAuC,CacheMisses,793
5,R7,DeepAuC,CacheMisses,794
5,R8,DeepAuC,CacheMisses,793
5,R9,DeepAuC,CacheMisses,793
5,R10,DeepAuC,CacheMisses,793
5,R11,DeepAuC,CacheMisses,791
5,R12,DeepAuC,CacheMisses,793
5,R13,DeepAuC,CacheMisses,793
5,R14,DeepAuC,CacheMisses,791
5,R15,DeepAuC,CacheMisses,791
5,R16,DeepAuC,CacheMisses,791
5,R17,DeepAuC,CacheMisses,794
5,R18,DeepAuC,CacheMisses,794
5,R19,DeepAuC,CacheMisses,793
5,R20,DeepAuC,CacheMisses,794
5,R21,DeepAuC,CacheMisses,793
5,R22,DeepAuC,CacheMisses,793
5,R23,DeepAuC,CacheMisses,793
6,R1,DeepAuC,CacheMisses,797
6,R2,DeepAuC,CacheMisses,798
6,R3,DeepAuC,CacheMisses,798
6,R4,DeepAuC,CacheMisses,798
6,R5,DeepAuC,CacheMisses,797
6,R6,DeepAuC,CacheMisses,799
6,R7,DeepAuC,CacheMisses,797
6,R8,DeepAuC,CacheMisses,799
6,R9,DeepAuC,CacheMisses,799
6,R10,DeepAuC,CacheMisses,799
6,R11,DeepAuC,CacheMisses,798
6,R12,DeepAuC,CacheMisses,799
6,R13,DeepAuC,CacheMisses,799
6,R14,DeepAuC,CacheMisses,798
6,R15,DeepAuC,CacheMisses,798
6,R16,DeepAuC,CacheMisses,798
6,R17,DeepAuC,CacheMisses,797
6,R18,DeepAuC,CacheMisses,797
6,R19,DeepAuC,CacheMisses,799
6,R20,DeepAuC,CacheMisses,797
6,R21,DeepAuC,CacheMisses,799
6,R22,DeepAuC,CacheMisses,799
6,R23,DeepAuC,CacheMisses,799
7,R1,DeepAuC,CacheMisses,795
7,R2,DeepAuC,CacheMisses,794
7,R3,DeepAuC,CacheMisses,794
7,R4,DeepAuC,CacheMisses,794
7,R5,DeepAuC,CacheMisses,795
7,R6,DeepAuC,CacheMisses,793
7,R7,DeepAuC,CacheMisses,795
7,R8,DeepAuC,CacheMisses,793
7,R9,DeepAuC,CacheMisses,793
7,R10,DeepAuC,CacheMisses,793
7,R11,DeepAuC,CacheMisses,794
7,R12,DeepAuC,CacheMisses,793
7,R13,DeepAuC,CacheMisses,793
7,R14,DeepAuC,CacheMisses,794
7,R15,DeepAuC,CacheMisses,794
