Time,DeepAuC
1,40.1438
1,200.143
1,40.1438
1,20.2414
1,200.143
1,7.08984
1,200.143
1,40.1438
1,200.143
1,40.1438
1,20.2414
1,200.143
1,7.08984
1,200.143
1,40.1438
1,20.2414
1,200.143
1,40.1438
1,200.143
1,7.08984
1,200.143
1,40.1438
1,20.2414
1,200.143
1,40.1438
1,200.143
1,7.08984
1,200.143
1,40.1438
1,20.2414
1,200.143
1,40.1438
1,200.143
1,7.08984
1,200.143
1,40.1438
1,200.143
1,40.1438
1,20.2414
1,200.143
1,7.08984
1,200.143
1,40.1438
1,200.143
1,40.1438
1,20.2414
1,200.143
1,7.08984
1,200.143
1,40.1438
1,20.2359
1,199.955
1,40.1438
1,199.955
1,6.85469
1,199.955
1,40.1438
1,20.2359
1,199.955
1,40.1438
1,199.955
1,6.85469
1,199.955
1,40.1438
1,20.2359
1,199.955
1,40.1438
1,199.955
1,6.85469
1,199.955
1,40.1438
1,199.955
1,40.1438
1,20.2359
1,199.955
1,6.85469
1,199.955
1,40.1438
1,199.955
1,40.1438
1,20.2359
1,199.955
1,6.85469
1,199.955
1,40.1438
1,20.2359
1,199.955
1,40.1438
1,199.955
1,6.85469
1,199.955
1,40.1438
1,20.2359
1,199.955
1,40.1438
1,199.955
1,6.85469
1,199.955
1,40.1438
1,20.2305
1,193.964
1,40.1438
1,193.964
1,6.61953
1,193.964
1,40.1438
1,193.964
1,40.1438
1,20.2305
1,193.964
1,6.61953
1,193.964
1,40.1438
1,193.964
1,40.1438
1,20.2305
1,193.964
1,6.61953
1,193.964
1,40.1438
1,20.0719
1,40.1438
1,40.1438
1,20.2305
1,193.964
1,40.1438
1,193.964
1,6.61953
1,193.964
1,40.1438
1,20.2305
1,193.964
1,40.1438
1,193.964
1,6.61953
1,193.964
1,19.65
1,1403.95
1,19.65
1,1403.95
1,19.2281
1,19.65
1,671.248
1,39.3
1,701.977
1,19.2281
1,19.65
1,671.248
1,39.3
1,19.65
1,39.3
1,19.65
1,39.3
1,19.65
1,19.2281
1,1374.06
1,19.2281
1,1374.06
1,38.4563
1,687.028
1,38.4563
1,19.2281
1,38.4563
1,19.2281
1,38.4563
1,19.2281
1,38.8781
1,679.554
1,19.0172
1,19.4391
1,679.554
1,38.8781
1,19.4391
1,19.0172
1,19.4391
1,679.554
1,38.8781
1,19.4391
1,38.8781
1,19.4391
1,38.0344
1,19.4391
1,38.0344
1,19.4391
1,38.8781
1,38.8781
1,19.4391
1,38.4563
1,19.65
1,38.4563
1,19.65
1,39.3
1,39.3
1,19.65
1,38.8781
1,19.8609
1,38.8781
1,19.8609
1,39.7219
1,39.7219
1,19.8609
1,19.2281
1,19.65
1,19.2281
1,19.65
1,39.3
1,39.3
1,19.65
1,19.2281
1,19.65
1,19.2281
1,19.65
1,19.4391
1,19.8609
1,19.4391
1,19.8609
1,19.4391
1,19.8609
1,38.8781
1,19.8609
1,19.4391
1,19.8609
